ID;Ќазвание города;широта;долгота
1;абакан;53.72;91.43
2;адлер;43.43;39.92
3;анапа;44.89;37.32
4;анжеро-судженск;56.08;86.03
5;ачинск;56.27;90.50
6;балашиха;55.81;37.95
7;барнаул;53.36;83.76
8;белгород;50.61;36.58
9;великий новгород;58.52;31.27
10;владивосток;43.11;131.87
11;гатчина;59.58;30.13
12;грозный;43.31;45.69
13;гусь-хрустальный;55.61;40.65
14;долгопрудный;55.95;37.50
15;дмитров;56.34;37.52
16;дубна;56.73;37.17
17;екатеринбург;56.85;60.61
18;зеленоград;55.98;37.18
19;иваново;57.00;40.97
20;ижевск;56.85;53.20
21;иркутск;52.30;104.30
22;казань;55.79;49.12
23;калининград;54.71;20.51
24;калуга;54.53;36.28
25;красногорск;55.82;37.33
26;лобн€;56.01;37.48
27;магадан;59.56;150.80
28;махачкала;42.98;47.50
29;москва;55.75;37.62
30;мурманск;68.98;33.09
31;нижний новгород;59.33;44.00
32;орел;52.97;36.08
33;орЄл;52.97;36.08
34;псков;57.81;28.35
35;петропавловск-камчатский;53.04;158.65
36;р€зань;54.63;39.69
37;самара;53.20;50.15
38;санкт-петербург;59.94;30.31
39;смоленск;54.78;32.04
40;тверь;56.86;35.90
41;тула;54.20;37.62
42;чита;52.03;113.50
43;чел€бинск;55.15;61.43
44;щелково;55.93;37.97
45;щЄлково;55.93;37.97
46;южно-сахалинск;46.95;142.74
47;€кутск;62.03;129.73
48;€рославль;57.63;39.87
